title,companyName,location,experience,salary,jobDescription,tagsAndSkills,jobUploaded,minimumSalary,maximumSalary,minimumExperience,maximumExperience,averageSalary
Qa Engineer,WAi Technologies,Pune,3-7 Yrs,5-10 Lacs PA,"<br /><p><strong>QA Manual + Automation- Playwright with Typescript</strong></p><p><strong>Need Immediate Joiners & Male Candidates Only.</strong></p><br /><p><strong>Experience-2-6Years</strong></p><p><strong>Employment: Full time Work </strong></p><p><strong>Location: Pune </strong></p><br /><p><strong>General Summary of role: </strong>WAI Technologies is looking for a skilled and detail-oriented QA Manual + Automation Tester to join our team and ensure the highest quality in our applications. In this role, you'll be responsible for designing and executing both manual and automated tests, with a focus on Playwright automation. You'll collaborate with cross-functional teams to understand requirements, track defects, and ensure comprehensive test coverage in an Agile/Scrum environment. </p><br /><p><strong>Essential Duties and Responsibilities: </strong>Design, develop, and maintain automated test scripts using Playwright framework. Perform manual testing (functional, regression, integration, UAT, cross-browser/device testing) to validate application quality. Collaborate with developers, business analysts, and product owners to understand requirements and acceptance criteria. Identify, document, and track bugs using tools like Jira/Azure DevOps (or preferred defect management tool). Develop and maintain test plans, test cases, and test data for manual and automated testing. Ensure end-to-end test coverage and participate in sprint ceremonies (Agile/Scrum). Implement CI/CD integration of automation scripts with pipelines (Jenkins, Azure DevOps, GitHub Actions, etc.). </p><br /><p><strong>Knowledge & Skills Required: </strong></p><p>Strong experience in manual testing: test case design, execution, defect logging, and reporting. Hands-on experience in <strong>Playwright automation framework (TypeScript). </strong>Good knowledge of web application testing (functional, regression, smoke, cross-browser, responsive testing). Experience with API testing (Postman, REST API validation, automation in Playwright is a plus). Familiarity with CI/CD tools (Jenkins, Azure DevOps, GitHub Actions). Strong understanding of SDLC and STLC in Agile/Scrum methodology. Proficiency in bug tracking/test management tools (Jira , Azure DevOps). Basic knowledge of Git/GitHub for version control. Good problem-solving skills and attention to detail. Excellent communication and teamwork abilities. Benefits: Join a fast-growing, innovation-driven team thats reshaping how modern engineering teams scale. Youll work alongside sharp thinkers, in a culture that values ownership, experimentation, and growth. </p><p>• We offer opportunities to work on cutting-edge projects with global clients, giving you exposure and helping you grow your skills. Learning and development are part of our culture, and we provide a platform to advance your career. • Day shift from 9:30 am to 7:00 pm & fixed weekly off on Saturday and Sunday. • Opportunities for skill development and training • Training and mentorship programs offered. • Performance-based annual bonuses. • Health Insurance: Coverage for employees and dependents. • Paid holidays & maternity benefits • Gratuity • Employee recognition program </p><br />","Typescript,Playwright,Manual And Automation Testing,Automation,Automation testing,Software testing,Quality assurance engineering,Manual",7 Days Ago,500000.0,1000000.0,3.0,7.0,750000.0
Data Engineer|L1 Support|Noida,Talentonlease,"Noida, Mumbai",1-2 Yrs,2.5-4.5 Lacs PA,"Required Skills Hands-on experience with AWS (Redshift,S3,RDS,CloudWatch,AppFlow,EMR,Glue,DMS). <br><br>Good troubleshooting and monitoring skills<br><br>Experience in workflow orchestration tools (Airflow). Strong knowledge of Python and SQL","ETL,ELT,AWS,Python,SQL,Data,L1,Data Engineering",8 Days Ago,250000.0,450000.0,1.0,2.0,350000.0
Hiring For Java Developer_MNC Organization,Symphoni Hr,"Bengaluru, Mumbai (All Areas)",5-7 Yrs,15-22.5 Lacs PA,"Experience: 5 to 7 years. <br><br>Experience in databases - DB2 / Sybase/Mongo and SQL <br><br>Experience in messaging,including Kafka and IBM MQ <br><br>Experience in Linux / Unix and shell scripting <br><br>Ideally,some experience in Python <br><br>Nice to have some prior experience with the modernisation of large system re-engineering projects","Java 21,Spring boot 3,Kafka,Mongo DB,Spring Boot,Hiring,Db,Java",10 Days Ago,1500000.0,2250000.0,5.0,7.0,1875000.0
Python Developer @bfsi investment Banking,Net Connect,"Hybrid - Bengaluru, Mumbai (All Areas)",4-9 Yrs,17-30 Lacs PA,"Required Technical Skills:  . Education: Bachelors degree in Computer Science,Software Engineering,Information Technology,or a related field<br><br>Experience: Minimum 4+ years of hands-on application development<br><br>Database Knowledge: RDBMS experience (preferably DB2,Sybase,MSSQL,PostgreSQL )<br><br>Develop tooling to enhance the developer experience<br><br> System & Server Experience:  .","Django,Pandas,Python,Flask,Javascript,Numpy,Investment,Development",7 Days Ago,1700000.0,3000000.0,4.0,9.0,2350000.0
Data Analyst,Prime Placement Mumbai,"Thane, Navi Mumbai, Mumbai (All Areas)(Matunga +15)",2-6 Yrs,2.25-5.5 Lacs PA,"Data Analyst with expertise in Business Intelligence will be responsible for analyzing complex data, developing BI solutions, providing insights to inform business decisions.Develop & maintain BI solutions using tools like Power BI, Tableau,QlikView","Business Intelligence,Power Bi,Etl Process,Tableau,Data Warehousing,Data Visualization,QlikView,Data Modeling",6 Days Ago,225000.0,550000.0,2.0,6.0,387500.0
"Sr. Python Developer - Fort, Mumbai  office job",Teamplus Staffing Solution,"Thane, Navi Mumbai, Mumbai (All Areas)(Fort)",2-7 Yrs,7-16 Lacs PA,"Python (Advanced): Strong knowledge of Python 3.x, best practices, and design patterns.
Django: Experience building scalable and secure web applications.
FastAPI","Fast Api,Microservices,Django,Sqlalchemy,Python,S3,RDS,Lambdas",7 Days Ago,700000.0,1600000.0,2.0,7.0,1150000.0
Technical Lead (Data Engineer),WebMD,"Thane, Navi Mumbai, Mumbai (All Areas)",8-12 Yrs,15-30 Lacs PA,"Demonstrated experience with DevOps practices along with cloud infrastructure services. (AWS / GCP/Azure).  . Advanced SQL expertise with MPP databases (BigQuery,Redshift) and RDBMS (Postgres,Oracle).  . Strong hands-on experience in Linux environments along with scripting (Batch and shell).  <br><br>Experience in code versioning tools (Git preferred).  <br><br>Experience: 8 - 12 Years .","SQL,Apache Airflow,DevOps,Infrastructure,Pentaho,Big Query,batch,MSSQL",8 Days Ago,1500000.0,3000000.0,8.0,12.0,2250000.0
Jr. Java Developer - Navi Mumbai (WFO),Rigvedit,Navi Mumbai,1-2 Yrs,1-4.5 Lacs PA,"Qualifications : . Education : A Bachelors or Masters degree in Computer Science,Information Technology,or a related field. <br><br>Minimum of 1 years of experience in Java development & senior role<br><br>Experience - 1 to 2 Yrs . <br><br>Experience : . <br><br>Strong experience in designing and developing enterprise-scale Java applications","java,Docker,Microservices,Spring Boot,AWS,Jrss,Development,Wfo",9 Days Ago,100000.0,450000.0,1.0,2.0,275000.0
Senior QA Engineer,Heady Technologies Consultancy,Mumbai(Vikhroli West),4-6 Yrs,10-15 Lacs PA,"<p><strong>Who are we looking for?</strong><br /></p><p>We are looking for a Quality Assurance (QA) Engineer to develop and execute exploratory and automated tests to ensure product quality. QA engineer responsibilities include designing and implementing tests, debugging and defining corrective actions. QA Engineer will also review system requirements and track quality assurance metrics (e.g. defect densities and open defect counts.) Ultimately, the engineer should monitor all stages of software development to identify and resolve system malfunctions to meet quality standards.The candidate that will succeed in this position will be able to create all the testing and automation frameworks as required for their projects. The candidate that will succeed in this position will be able to create all the testing and automation frameworks as required for their projects. Thus, the candidate may have to work on multiple projects once, also working to improve the company's best practices from a testing a standpoint.<br /></p><p><strong>Responsibilities: </strong></p><br /><ul><li>Review requirements, specifications and technical design documents to provide timely and meaningful feedback</li><li>Create detailed, comprehensive and well-structured test plans and test cases</li><li>Estimate, prioritize, plan and coordinate testing activities</li><li>Taking full responsibility of the automation of testing activities.</li><li>Design, develop and execute automation scripts using open source tools</li><li>Identify, record, document thoroughly and track bugs</li><li>Perform thorough regression testing when bugs are resolved</li><li>Develop and apply testing processes for new and existing products to meet client needs</li><li>Liaise with internal teams (e.g. developers and product managers) to identify system requirements</li><li>Monitor debugging process results</li><li>Investigate the causes of non-conforming software and train users to implement solutions</li><li>Track quality assurance metrics, like defect densities and open defect counts</li><li>Stay up-to-date with new testing tools and test strategies </li></ul><br /><p><strong>Requirements:</strong></p><ul><li>BE/MCA degree in Computer Science, Engineering or a related subject</li><li>2-3 years of relevant software testing experience</li><li>Minimum 1.5 years of experience in mobile application testing</li><li>Knowledge of Appium or other mobile test automation framework</li><li>Strong knowledge of software QA methodologies, tools and processes</li><li>Experience in writing clear, concise and comprehensive test plans and test cases</li><li>Experience working in an Agile/Scrum development process</li><li>Experience with performance and/or security testing is a plus</li><li>Experience in API testing</li><li>Excellent in test case design, writing test cases and execution</li><li>Good understanding of Defect Reporting, Sanity, Regression, Integration & System Testing</li><li>Experience performing Functional Testing, Regression Testing and Ad-Hoc Testing</li><li>Good hands on testing concepts, testing life cycle and bug life cycle</li><li>Good knowledge in Selenium is an added advantage</li><li>Very good communication skills </li></ul>","Web Application Testing,API Testing,Automation Testing,Mobile Application Testing,Scripting,Automation,Web technologies,Mobile applications",9 Days Ago,1000000.0,1500000.0,4.0,6.0,1250000.0
Jr. Java Developer - Navi Mumbai (WFO),Rigvedit,Navi Mumbai,1-2 Yrs,1-4.5 Lacs PA,"Qualifications : . Education : A Bachelors or Masters degree in Computer Science,Information Technology,or a related field. <br><br>Minimum of 1 years of experience in Java development & senior role<br><br>Experience - 1 to 2 Yrs . <br><br>Experience : . <br><br>Strong experience in designing and developing enterprise-scale Java applications","java,Docker,Microservices,Spring Boot,AWS,Wfo,Jrss,Java Development",9 Days Ago,100000.0,450000.0,1.0,2.0,275000.0
Data Scientist,R2R Consultants Llp,"Mumbai, Thane",4-5 Yrs,12-15 Lacs PA,"Please note we are only looking for Male candidates for this position.  . <br><br>Ensuring it works seamless operation of Analytics platform across the brands,capturing all required information at key points in the customer life cycle<br><br>Monitor and maximise customer lifetime value strategies ensuring maximum profitability","Data Analytics,Customer loyalty,Customer retention,Data,Retention,Loyalty,Analytics",10 Days Ago,1200000.0,1500000.0,4.0,5.0,1350000.0
Java Full Stack Developer,Kiya.ai,"Hybrid - Mumbai, Mumbai Suburban, Mumbai (All Areas)",5-9 Yrs,5-14 Lacs PA,Experience in Agile SCRUM and DevSecOps <br><br>Experience - 5+ Years <br><br>Knowledge / experience on dynatrace,"Java,API,Microservices,Angular,SQL,Core Java,Hibernate,Rest",9 Days Ago,500000.0,1400000.0,5.0,9.0,950000.0
Software Engineer,ti Steps,"Hyderabad, Chennai, Bengaluru",0-1 Yrs,2-3 Lacs PA,"Requirements:  . - Bachelors degree in Computer Science or related field. - Basic understanding of data structures,algorithms,and object-oriented programming. - Familiarity with version control systems like Git. - Strong problem-solving and analytical skills. - Eagerness to learn and adapt to new technologies","Github,SQL Queries,Manual Testing,JIRA,SDLC,Bug,Debugging,Programming",3 Days Ago,200000.0,300000.0,0.0,1.0,250000.0
Python Developer - fresher,ti Steps,"Hyderabad, Chennai, Bengaluru",0-1 Yrs,1-2 Lacs PA,<p><strong>Job Summary:</strong> </p><p><br />We are looking for a Python Developer to assist in building scalable applications and automation tools. </p><br /><p><strong>Key Responsibilities:</strong> </p><br /><ul><li>Write clean and efficient Python code. </li><li>Learn frameworks like Django or Flask. </li><li>Work on data processing and scripting tasks. </li></ul><br /><p><strong>Requirements:</strong> </p><br /><ul><li>Basic understanding of Python. </li><li>Familiarity with libraries and frameworks. </li><li>Interest in automation and data handling. </li></ul>,"Testing And Debugging,Django,Rest Apis,JSON,Python Development,Listing,Rest,Development",3 Days Ago,100000.0,200000.0,0.0,1.0,150000.0
Devops Engineer,Quench Techno Valley,"Hyderabad, Bengaluru",3-5 Yrs,8-11 Lacs PA,"3–5 years of hands-on DevOps experience.
Strong expertise in Kubernetes (with EKS exposure preferred).
 AWS or Azure cloud platforms.
Strong scripting/programming skills in Linux, Bash, and Python.","devops,linux,aws,Kubernetes,python,automation,Deployment,bash",7 Days Ago,800000.0,1100000.0,3.0,5.0,950000.0
Senior Qa Engineer,Aliqan Services,"Noida, Bangalore Rural, Gurugram",7-12 Yrs,20-25 Lacs PA,"manual testing and automation frameworks.
C# programming and Selenium WebDriver.
SQL for data validation.
CI/CD tools, DevOps practices, and Azure Pipelines.","c#,Azure pipelines,manual tester,selenium webdriver,SQL,devops,automation frameworks,CICD",8 Days Ago,2000000.0,2500000.0,7.0,12.0,2250000.0
Java Developer,Lancesoft,"Hybrid - Hyderabad, Chennai, Bengaluru",5-10 Yrs,5-10 Lacs PA,"<p>Senior Java Developer  Java, Microservices</p><p>About the Role</p><p>We build systems that power millions of customer journeys every day — online and in-store.</p><p>We’re looking for an experienced Senior Java Developer with 6–10 years of solid experience</p><p>designing and developing high-performance Microservices using Spring Boot and Spring</p><p>WebFlux. If you’re passionate about building scalable solutions, love solving complex</p><p>problems, and thrive in a collaborative, agile environment — come build what’s next with</p><p>us!</p><p>What You’ll Do</p><ul><li> Design, develop, and deploy robust, scalable Microservices using Spring Boot and</li></ul><p>Spring WebFlux, while adhering to modern security and coding best practices.</p><ul><li> Apply strong knowledge of design patterns, data structures, algorithms, and SOLID</li></ul><p>principles to deliver high-quality, maintainable code.</p><ul><li> Work closely with DevOps, QA, and product teams to ensure that solutions meet</li></ul><p>business requirements and are reliable in production.</p><ul><li> Participate in product demos, design discussions, and release reviews, bringing your</li></ul><p>technical expertise to shape our products.</p><ul><li> Continuously improve development processes and engineering practices, sharing</li></ul><p>knowledge and mentoring others.</p><ul><li> Stay up to date with the latest tools, technologies, and frameworks in the Java and</li></ul><p>cloud-native ecosystem.</p><ul><li> Deploy, monitor, and maintain services on Kubernetes (AKS) and leverage</li></ul><p>containerization best practices with Docker.</p><ul><li> Design and work with both NoSQL (Couchbase, MongoDB, Cassandra) and SQL</li></ul><p>(PostgreSQL) databases to build efficient, performant services.</p><ul><li> Leverage cloud-native capabilities in AWS or Azure to deliver resilient, scalable</li></ul><p>services.</p><ul><li> Follow Agile best practices, using tools like Jenkins, GitHub Actions, ArgoCD, Sonar,</li></ul><p>Snyk, Postman, and more to ensure quality and security.</p><p>What We’re Looking For</p><p>Must-Have:</p><ul><li> Strong knowledge of design patterns, data structures, algorithms, and SOLID</li></ul><p>principles.</p><ul><li> Excellent hands-on experience with Java 8, Java 17 (and above).</li><li> Deep practical experience with Microservices architecture, Spring Boot, and Spring</li></ul><p>WebFlux.</p><ul><li> Solid working experience with Kubernetes, Docker, and Azure Kubernetes Service</li></ul><p>(AKS).</p><ul><li> Strong proficiency with NoSQL databases (Couchbase, MongoDB, Cassandra) and</li></ul><p>SQL databases (PostgreSQL).</p><ul><li> Proven experience building and deploying cloud-native solutions on AWS and/or</li></ul><p>Azure.</p><ul><li> Excellent analytical and problem-solving skills.</li><li> Effective communication skills and the ability to collaborate with cross-functional</li></ul><p>teams.</p><p>Other Skills:</p><ul><li> CI/CD tools: Jenkins, GitHub Actions, ArgoCD</li><li> Security and quality tools: Snyk, Sonar</li><li> API Testing: Postman</li><li> Familiarity with Agile methodologies and best practices.</li></ul><p>Nice-to-Have:</p><ul><li> Experience with Splunk, ELK Stack for log monitoring.</li><li> Experience with NewRelic, AppDynamics, or DynaTrace for application performance</li></ul><p>monitoring.</p><br />","Java,azure,Spring Boot,Microsoft Azure,Development,Boot,Java Development,Spring",8 Days Ago,500000.0,1000000.0,5.0,10.0,750000.0
Azure Data Engineer (Python/Pyspark),Kiash Solution,"Hybrid - Hyderabad, Chennai, Bengaluru",5-7 Yrs,15-20 Lacs PA,"5+ yr exp with Azure Data Eng Stack (Data Factory, Databricks, Synapse, Pyspark)
Np-0-10 days
3 virtual interview
Chennai/ Bangalore/ Hyderabad
CTC upto 21 LPA
Exp- Power BI, SFTP, Messaging, APIs
CTC - upto 21 LPAGood understanding of Data Warehouse Architecture, Data Modelling and design concepts","Pyspark,Data Modelling,Azure Data Engineering,ADLS Gen 2,Synapse,Event Hub,Data Warehouse Architecture,Cosmos DB",9 Days Ago,1500000.0,2000000.0,5.0,7.0,1750000.0
.NET Software Developer,Aliqan Services,"Noida, Bangalore Rural, Gurugram",8-11 Yrs,15-25 Lacs PA,"dot net + angular (Mandatory Skills: .NET, MVC, SQL, Performance tuning, Angular, 6+ yrs, Optimizing Screen)",".Net,MVC,Performance Tuning,Angular,SQL,Development,Software,Software development",9 Days Ago,1500000.0,2500000.0,8.0,11.0,2000000.0
Senior Software Engineer,V Soft Consulting,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",4-8 Yrs,15-30 Lacs PA,"Experience: 4+ years . A ServiceNow SPM Senior Developer designs,configures,and implements solutions within the ServiceNow Strategic Portfolio Management (SPM) module,including Demand Management,Project Portfolio Management (PPM),Resource Management,and Financial Planning<br><br>Agile Environment: Experience working in an agile development environment","SPM,Servicenow,Javascript,Strategic Portfolio Management,Portfolio management,Software,Portfolio,Senior",2 Days Ago,1500000.0,3000000.0,4.0,8.0,2250000.0
Java Developer,Siera It Services,"Hyderabad, Bengaluru",7-11 Yrs,25-40 Lacs PA,"<p><strong>Role & responsibilities:</strong></p><p>Outline the day-to-day responsibilities for this role.</p><br /><p><strong>Preferred candidate profile:</strong></p><p>Specify required role expertise, previous job experience, or relevant certifications.</p>","Apache Camel,Kafka,Spring Boot,AWS,Development,Spring,Java Development,Java",Just Now,2500000.0,4000000.0,7.0,11.0,3250000.0
Java Developer,Moder Solutions,"Hyderabad, Chennai, Bengaluru",4-8 Yrs,10-18 Lacs PA,Interested candidate can share updated cv and required information to proceed with interview.  . Notice period. Tot experience. rel expereince. Ctc. exctc. working shift12-9pm / 2-11pm . Cur location.,"java 8,Spring Boot,Microservices,Development,Boot,Java,Java Development,Spring",Few Hours Ago,1000000.0,1800000.0,4.0,8.0,1400000.0
Java Developer,ti Steps,"Hyderabad, Chennai, Bengaluru",1-3 Yrs,4-6 Lacs PA,Good analytical and problem-solving skills,"Coding,OOPS,Framework,Java,API,Development,Java Development",Today,400000.0,600000.0,1.0,3.0,500000.0
Cloud Engineer,ti Steps,"Hyderabad, Chennai, Bengaluru",1-3 Yrs,3-6 Lacs PA,"The ideal candidate will have experience working with leading cloud platforms such as AWS,Azure,or Google Cloud Platform (GCP),and a strong background in automation,infrastructure as code,and cloud-native technologies<br><br>Experience with monitoring / logging tools like CloudWatch,Prometheus,Grafana,or Datadog","GCP,AWS,Gcp Cloud,Aws Certified,Certified,Cloud",Today,300000.0,600000.0,1.0,3.0,450000.0
Data Analyst,Uplers,"Hyderabad, Chennai, Bengaluru",2-3 Yrs,10-15 Lacs PA,"Shift : 10:00AM to 7:00PM IST. <br><br>Experience with Electron or cross-platform desktop apps (nice to have)<br><br>Experience a simpler,faster,and more reliable hiring process with Uplers today<br><br>Preferred Notice Period : Within 30 Days. <br><br>Opportunity Type: Onsite (Bengaluru). Placement Type: Permanent. (*Note: This is a requirement for one of Uplers Clients)","Data Visualization,Mixpanel,KPI Monitoring,Data Analytics,Analytics,Data,KPI,Data analysis",1 Day Ago,1000000.0,1500000.0,2.0,3.0,1250000.0
Senior Software Engineer,Uplers,"Hyderabad, Chennai, Bengaluru",5-8 Yrs,30-45 Lacs PA,"<p> <strong>Sr. Frontend Engineer</strong></p><br /><p><strong>Experience: </strong>5-8 Years Exp</p><p><strong>Salary :</strong> 30-45 LPA</p><p><strong>Preferred Notice Period</strong>: less than or equal to 30 days</p><p><strong>Shift</strong>: 10:00 AM to 6:00 PM IST</p><p><strong>Opportunity Type:</strong> Office (Bengaluru)</p><p><strong>Placement Type:</strong> Permanent</p><br /><p><strong>(*Note: This is a requirement for one of Uplers' Clients)</strong></p><p><strong>Must have skills required :</strong></p><p>React.js OR HTML OR CSS OR TypeScript, JavaScript, Node.js OR Express.js</p><br /><p><strong>Lucio (One of Uplers' Clients) is Looking for:</strong></p><p>Sr. Frontend Engineer who is passionate about their work, eager to learn and grow, and who is committed to delivering exceptional results. If you are a team player, with a positive attitude and a desire to make a difference, then we want to hear from you. </p><br /><p><strong>Role Overview Description</strong></p><br /><p><strong>Job Title: Frontend Engineer</strong><br /><strong>Mode: In Office</strong><br /><strong>Working hours: Flexible</strong><br /><strong>Compensation: 30 LPA to 45 LPA</strong><br /><strong>Days: 5 days/week</strong></p><br /><p><strong>About Lucio:</strong><br />We're an AI product company that wants to transform the legal industry using generative AI. We're a rapidly growing team with a truly innovative product that is already being used at many top law firms in the country.</p><p>We're building a team of talented developers who are passionate about building products that solve real-world problems. With us, you'll have the opportunity to work on everything from fine-tuning LLMs, creating complex data processing pipelines, optimizing distributed services and more. Don't worry, you won't have to do everything, but you'll always have the option of working on something exciting and new.</p><p>We're looking to hire a talented Frontend Engineer who is passionate about building beautiful interfaces and new user experiences. You will excel at this role if you:</p><ul><li>Have an eye for detail</li><li>Love creating and thinking of new user flows and experiences</li><li>Want to help build delightful products<br /></li></ul><p><strong>Must-Have Skills (Essential):</strong></p><ul><li>Strong Proficiency in Core Web Technologies:</li><li>JavaScript (ES6+): Deep understanding of core JavaScript concepts, asynchronous programming (Promises, async/await), and modern language features.</li><li>CSS3: Excellent understanding of CSS fundamentals, layout techniques (Flexbox, Grid), responsive design principles, and CSS preprocessors (like Sass or Less, though Tailwind is a separate ""Good to Have"").</li><li>React: Solid experience building complex user interfaces with React, including component lifecycle, hooks, state management (even if not a preferred library initially), and routing.</li><li>UI Design Systems/Component Libraries: Demonstrated experience working with at least one major UI Design System/Component Library. MUI (Preferred) is a significant plus. Familiarity with AntD, Chakra UI, or Mantine is also valuable.</li><li>State Management: Practical experience with at least one client-side state management library. Redux Toolkit or Zustand (Preferred) indicates a good understanding of managing application state effectively.</li><li>Server-Side State Management/Data Fetching: Experience with a server-side state management/data fetching library like SWR, React Query (Tanstack Query) (Preferred), or RTK Query is highly desirable, showcasing knowledge of efficient data handling.</li><li>Form Handling and Validation:</li><li>Experience with form handling in React and implementing robust validation.</li><li>Familiarity with react-hook-form (preferred) for form management.</li><li>Knowledge of zod (preferred) or yup for schema definition and validation.</li><li>Performance Optimization: Proven ability to identify and implement performance optimizations in frontend applications. This includes techniques like code splitting, lazy loading, memoization, efficient rendering, and optimizing API calls.</li><li>Good Code Practices: Strong understanding of clean code principles, writing maintainable and scalable code, following coding standards, and using linting and formatting tools (e.g., ESLint, Prettier).</li><li>Version Control (Git): Proficient in using Git for version control, branching strategies, and collaborating with a team.</li><li>Understanding of Web Development Fundamentals: Knowledge of HTTP protocols, RESTful APIs, and browser developer tools.<br /></li></ul><p><strong>Good to Have Skills (Beneficial):</strong></p><ul><li>Next.js or React Router (Remix): Production experience with these frameworks is a significant plus, indicating familiarity with server-side rendering (SSR), static site generation (SSG), and their respective feature sets.</li><li>Tailwind CSS: Experience with utility-first CSS frameworks like Tailwind CSS can be beneficial for rapid styling and consistency.</li><li>Node.js and Express.js: Basic understanding or prior experience with Node.js and Express.js for backend development can be a valuable asset for understanding the full-stack picture and potentially contributing to API integrations or basic backend tasks.</li><li>Build Tools: Familiarity with build tools like Webpack, Parcel, or Vite.</li><li>Accessibility (A11y): Awareness of and ability to implement accessible web applications (following WCAG guidelines).</li></ul><p>We're looking for candidates with 5 to 8 years experience, either through great independent projects or working with companies. You don't necessarily need a degree in CS as long as you have the right skillset.</p><br /><p><strong>Pay and Benefits:</strong></p><p>We're happy to offer up to 45 LPA based on experience and skills. We offer great benefits like:</p><ul><li>unlimited leaves (including sick leaves, period leaves, and more)</li><li>great flexibility around work timings,</li><li>an inclusive and diverse working environment.</li></ul><p>To apply: Submit this technical puzzle with us, if you have done Hack The Box or CTF challenges, you might find it interesting.</p><p><u>https://workwithus.lucioai.com/</u></p><p>Please do not ask for hints, you will find the steps to hire for our position at the end of this puzzle. Our puzzle is active & live, and every problem statement has a solution to it.</p><br /><p><strong>How to apply for this opportunity:</strong></p><p><strong>Easy 3-Step Process:</strong></p><p>1. Click On Apply! And Register or log in on our portal</p><p>2. Upload updated Resume & Complete the Screening Form</p><p>3. Increase your chances to get shortlisted & meet the client for the Interview!</p><br /><p><strong>About Our Client:</strong></p><p>AI powered document automation platform<br />Helping lawyers fall in love with the law again. Enterprise AI solutions for document review, drafting, and more.</p><br /><p><strong>About Uplers:</strong></p><p>Our goal is to make hiring and getting hired reliable, simple, and fast. Our role will be to help all our talents find and apply for relevant product and engineering job opportunities and progress in their career.</p><p>(Note: There are many more opportunities apart from this on the portal.)</p><p>So, if you are ready for a new challenge, a great work environment, and an opportunity to take your career to the next level, don't hesitate to apply today. We are waiting for you!</p>","React.Js,CSS,Express,Typescript,Javascript,HTML,Node.Js,Cs",2 Days Ago,3000000.0,4500000.0,5.0,8.0,3750000.0
